"Step","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_overall","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_overall__MIN","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_overall__MAX"
"0","0.4739962293225439","0.4739962293225439","0.4739962293225439"
"10","0.47358475359845975","0.47358475359845975","0.47358475359845975"
"20","0.472168856017649","0.472168856017649","0.472168856017649"
"30","0.4656203962049985","0.4656203962049985","0.4656203962049985"
"40","0.4523957482625398","0.4523957482625398","0.4523957482625398"
"50","0.460334916489774","0.460334916489774","0.460334916489774"
"60","0.46045851918090547","0.46045851918090547","0.46045851918090547"
"70","0.46612839179746823","0.46612839179746823","0.46612839179746823"
"80","0.46530918736797744","0.46530918736797744","0.46530918736797744"
"90","0.4589577444331038","0.4589577444331038","0.4589577444331038"
"100","0.461040267407129","0.461040267407129","0.461040267407129"
"110","0.4621746130213334","0.4621746130213334","0.4621746130213334"
"120","0.46316632976913946","0.46316632976913946","0.46316632976913946"
"130","0.4763773465237434","0.4763773465237434","0.4763773465237434"
"140","0.4767078385403101","0.4767078385403101","0.4767078385403101"
"150","0.47172910772140464","0.47172910772140464","0.47172910772140464"
"160","0.46140886645212975","0.46140886645212975","0.46140886645212975"
"170","0.45769853599723775","0.45769853599723775","0.45769853599723775"
"180","0.46943803402775003","0.46943803402775003","0.46943803402775003"
"190","0.4709710487675821","0.4709710487675821","0.4709710487675821"
"200","0.4614154114598218","0.4614154114598218","0.4614154114598218"
"210","0.46181393178629426","0.46181393178629426","0.46181393178629426"
"220","0.44987670818181996","0.44987670818181996","0.44987670818181996"
"230","0.4670024247980833","0.4670024247980833","0.4670024247980833"
"240","0.47219708403200117","0.47219708403200117","0.47219708403200117"
"250","0.46781803597282523","0.46781803597282523","0.46781803597282523"
"260","0.4753964062671652","0.4753964062671652","0.4753964062671652"
"270","0.4778706793983454","0.4778706793983454","0.4778706793983454"
"280","0.47781870894426737","0.47781870894426737","0.47781870894426737"
"290","0.47324415728146435","0.47324415728146435","0.47324415728146435"
"300","0.47667673046411735","0.47667673046411735","0.47667673046411735"
"310","0.47747572658447446","0.47747572658447446","0.47747572658447446"
"320","0.4774642613426876","0.4774642613426876","0.4774642613426876"
"330","0.48041089860244507","0.48041089860244507","0.48041089860244507"
"340","0.4780757558774989","0.4780757558774989","0.4780757558774989"
"350","0.4761367913195111","0.4761367913195111","0.4761367913195111"
"360","0.47520779976894323","0.47520779976894323","0.47520779976894323"
"370","0.48232131953950863","0.48232131953950863","0.48232131953950863"
"380","0.4816145519484277","0.4816145519484277","0.4816145519484277"
"390","0.48301517189353965","0.48301517189353965","0.48301517189353965"
"400","0.48307763138705306","0.48307763138705306","0.48307763138705306"
"410","0.4842328128603709","0.4842328128603709","0.4842328128603709"
"420","0.48384146208758266","0.48384146208758266","0.48384146208758266"
"430","0.4814137115235564","0.4814137115235564","0.4814137115235564"
"440","0.4827720658318198","0.4827720658318198","0.4827720658318198"
"450","0.485885324354276","0.485885324354276","0.485885324354276"
"460","0.48888619618388945","0.48888619618388945","0.48888619618388945"
"470","0.4866837345672286","0.4866837345672286","0.4866837345672286"
"480","0.4847770702505197","0.4847770702505197","0.4847770702505197"
"490","0.48065531046338944","0.48065531046338944","0.48065531046338944"
"500","0.4847961388474703","0.4847961388474703","0.4847961388474703"
"510","0.48425625447143344","0.48425625447143344","0.48425625447143344"
"520","0.48272385780587523","0.48272385780587523","0.48272385780587523"
"530","0.48313440370554495","0.48313440370554495","0.48313440370554495"
"540","0.4816974859479568","0.4816974859479568","0.4816974859479568"
"550","0.484459294170579","0.484459294170579","0.484459294170579"
"560","0.481540372918693","0.481540372918693","0.481540372918693"
"570","0.48415214564987336","0.48415214564987336","0.48415214564987336"
"580","0.4851416921109667","0.4851416921109667","0.4851416921109667"
"590","0.49235498530407584","0.49235498530407584","0.49235498530407584"
"600","0.4929979435121108","0.4929979435121108","0.4929979435121108"
"610","0.48902487400357886","0.48902487400357886","0.48902487400357886"
"620","0.48582371814670605","0.48582371814670605","0.48582371814670605"
"630","0.4872534181563254","0.4872534181563254","0.4872534181563254"
"640","0.49199980740005733","0.49199980740005733","0.49199980740005733"
"650","0.4924551376666645","0.4924551376666645","0.4924551376666645"
"660","0.4950586638986839","0.4950586638986839","0.4950586638986839"
