"Step","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_ordering","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_ordering__MIN","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_ordering__MAX"
"0","0.5318235783259584","0.5318235783259584","0.5318235783259584"
"10","0.5309336003607346","0.5309336003607346","0.5309336003607346"
"20","0.5230539701606898","0.5230539701606898","0.5230539701606898"
"30","0.5028251583195564","0.5028251583195564","0.5028251583195564"
"40","0.47860947181010394","0.47860947181010394","0.47860947181010394"
"50","0.49851281427606975","0.49851281427606975","0.49851281427606975"
"60","0.5045781666076192","0.5045781666076192","0.5045781666076192"
"70","0.506268223221801","0.506268223221801","0.506268223221801"
"80","0.5159652853907366","0.5159652853907366","0.5159652853907366"
"90","0.5035577994220451","0.5035577994220451","0.5035577994220451"
"100","0.5125841723579401","0.5125841723579401","0.5125841723579401"
"110","0.5131724112209826","0.5131724112209826","0.5131724112209826"
"120","0.5025441707003933","0.5025441707003933","0.5025441707003933"
"130","0.5230692022470435","0.5230692022470435","0.5230692022470435"
"140","0.5331921004228839","0.5331921004228839","0.5331921004228839"
"150","0.5214389420482197","0.5214389420482197","0.5214389420482197"
"160","0.4816197181421524","0.4816197181421524","0.4816197181421524"
"170","0.48783353182530426","0.48783353182530426","0.48783353182530426"
"180","0.5213376017942069","0.5213376017942069","0.5213376017942069"
"190","0.5203173584804217","0.5203173584804217","0.5203173584804217"
"200","0.5043295127444434","0.5043295127444434","0.5043295127444434"
"210","0.4854676597821268","0.4854676597821268","0.4854676597821268"
"220","0.4655551846070556","0.4655551846070556","0.4655551846070556"
"230","0.5084820308182887","0.5084820308182887","0.5084820308182887"
"240","0.523578298713059","0.523578298713059","0.523578298713059"
"250","0.5147528892971913","0.5147528892971913","0.5147528892971913"
"260","0.5113796381299673","0.5113796381299673","0.5113796381299673"
"270","0.5234947508246076","0.5234947508246076","0.5234947508246076"
"280","0.524064471272967","0.524064471272967","0.524064471272967"
"290","0.5234977463256708","0.5234977463256708","0.5234977463256708"
"300","0.5286517505964412","0.5286517505964412","0.5286517505964412"
"310","0.5359441254440209","0.5359441254440209","0.5359441254440209"
"320","0.5337709486299573","0.5337709486299573","0.5337709486299573"
"330","0.5397006506784395","0.5397006506784395","0.5397006506784395"
"340","0.5288952208717667","0.5288952208717667","0.5288952208717667"
"350","0.5217204065831347","0.5217204065831347","0.5217204065831347"
"360","0.5224117843621913","0.5224117843621913","0.5224117843621913"
"370","0.5377484513501762","0.5377484513501762","0.5377484513501762"
"380","0.541105527175348","0.541105527175348","0.541105527175348"
"390","0.54144428590243","0.54144428590243","0.54144428590243"
"400","0.5444226728909081","0.5444226728909081","0.5444226728909081"
"410","0.54087673959645","0.54087673959645","0.54087673959645"
"420","0.5485293742874422","0.5485293742874422","0.5485293742874422"
"430","0.5500709177608449","0.5500709177608449","0.5500709177608449"
"440","0.5540216068814647","0.5540216068814647","0.5540216068814647"
"450","0.551707876280344","0.551707876280344","0.551707876280344"
"460","0.5557387686243549","0.5557387686243549","0.5557387686243549"
"470","0.5605149046849596","0.5605149046849596","0.5605149046849596"
"480","0.5464049831312917","0.5464049831312917","0.5464049831312917"
"490","0.5514614715190835","0.5514614715190835","0.5514614715190835"
"500","0.5509733236534713","0.5509733236534713","0.5509733236534713"
"510","0.555727318886418","0.555727318886418","0.555727318886418"
"520","0.5478734145024546","0.5478734145024546","0.5478734145024546"
"530","0.5458993963277244","0.5458993963277244","0.5458993963277244"
"540","0.5476763064070427","0.5476763064070427","0.5476763064070427"
"550","0.5570029162603477","0.5570029162603477","0.5570029162603477"
"560","0.5484531514075764","0.5484531514075764","0.5484531514075764"
"570","0.552118619721508","0.552118619721508","0.552118619721508"
"580","0.5458805059996166","0.5458805059996166","0.5458805059996166"
