"Step","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/test_score_time_difference","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/test_score_time_difference__MIN","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/test_score_time_difference__MAX"
"0","0.4099258443748113","0.4099258443748113","0.4099258443748113"
"10","0.4112088407855481","0.4112088407855481","0.4112088407855481"
"20","0.41206706754746847","0.41206706754746847","0.41206706754746847"
"30","0.4105161766638048","0.4105161766638048","0.4105161766638048"
"40","0.4058205100009218","0.4058205100009218","0.4058205100009218"
"50","0.4050698663922958","0.4050698663922958","0.4050698663922958"
"60","0.4080352134478744","0.4080352134478744","0.4080352134478744"
"70","0.41137047539814375","0.41137047539814375","0.41137047539814375"
"80","0.40069138957187533","0.40069138957187533","0.40069138957187533"
"90","0.4066413081891369","0.4066413081891369","0.4066413081891369"
"100","0.4019196832377929","0.4019196832377929","0.4019196832377929"
"110","0.4019282014342025","0.4019282014342025","0.4019282014342025"
"120","0.4100695683155209","0.4100695683155209","0.4100695683155209"
"130","0.41655244026333094","0.41655244026333094","0.41655244026333094"
"140","0.4086326966062188","0.4086326966062188","0.4086326966062188"
"150","0.4164114555460401","0.4164114555460401","0.4164114555460401"
"160","0.4158694145735353","0.4158694145735353","0.4158694145735353"
"170","0.41616323523339815","0.41616323523339815","0.41616323523339815"
"180","0.41128135012695566","0.41128135012695566","0.41128135012695566"
"190","0.4136788807809353","0.4136788807809353","0.4136788807809353"
"200","0.4074282323999796","0.4074282323999796","0.4074282323999796"
"210","0.4073764141940046","0.4073764141940046","0.4073764141940046"
"220","0.40385732939466834","0.40385732939466834","0.40385732939466834"
"230","0.40945945971179754","0.40945945971179754","0.40945945971179754"
"240","0.4109591103042476","0.4109591103042476","0.4109591103042476"
"250","0.4080609330558218","0.4080609330558218","0.4080609330558218"
"260","0.40997911657905206","0.40997911657905206","0.40997911657905206"
"270","0.41235762857832015","0.41235762857832015","0.41235762857832015"
"280","0.4097013096034061","0.4097013096034061","0.4097013096034061"
"290","0.4132826231652871","0.4132826231652871","0.4132826231652871"
"300","0.4141832792374771","0.4141832792374771","0.4141832792374771"
"310","0.41557842030306347","0.41557842030306347","0.41557842030306347"
"320","0.41612873459234834","0.41612873459234834","0.41612873459234834"
"330","0.4134223939036019","0.4134223939036019","0.4134223939036019"
"340","0.4091844088106882","0.4091844088106882","0.4091844088106882"
"350","0.4140532745514065","0.4140532745514065","0.4140532745514065"
"360","0.4127192932064645","0.4127192932064645","0.4127192932064645"
"370","0.41783251834567636","0.41783251834567636","0.41783251834567636"
"380","0.41693287005182356","0.41693287005182356","0.41693287005182356"
"390","0.41520659608067945","0.41520659608067945","0.41520659608067945"
"400","0.4189838065067306","0.4189838065067306","0.4189838065067306"
"410","0.41876019397750497","0.41876019397750497","0.41876019397750497"
"420","0.41200366121483967","0.41200366121483967","0.41200366121483967"
"430","0.4132006049330812","0.4132006049330812","0.4132006049330812"
"440","0.41734027295024134","0.41734027295024134","0.41734027295024134"
"450","0.4187382469244767","0.4187382469244767","0.4187382469244767"
"460","0.41974413886782713","0.41974413886782713","0.41974413886782713"
"470","0.41734371133497916","0.41734371133497916","0.41734371133497916"
"480","0.42175662447698414","0.42175662447698414","0.42175662447698414"
"490","0.4130988891120069","0.4130988891120069","0.4130988891120069"
"500","0.413674597395584","0.413674597395584","0.413674597395584"
"510","0.4159963640558999","0.4159963640558999","0.4159963640558999"
"520","0.4170077792077791","0.4170077792077791","0.4170077792077791"
"530","0.41658296360401437","0.41658296360401437","0.41658296360401437"
"540","0.4192533605382778","0.4192533605382778","0.4192533605382778"
"550","0.4175837160728406","0.4175837160728406","0.4175837160728406"
"560","0.4171986040310003","0.4171986040310003","0.4171986040310003"
"570","0.418115370295709","0.418115370295709","0.418115370295709"
"580","0.4166586530627683","0.4166586530627683","0.4166586530627683"
"590","0.41860794578678906","0.41860794578678906","0.41860794578678906"
"600","0.4193399476353079","0.4193399476353079","0.4193399476353079"
"610","0.4180552788602654","0.4180552788602654","0.4180552788602654"
"620","0.4171163695282303","0.4171163695282303","0.4171163695282303"
"630","0.42202745092799887","0.42202745092799887","0.42202745092799887"
"640","0.4209934450336732","0.4209934450336732","0.4209934450336732"
"650","0.41900630135205574","0.41900630135205574","0.41900630135205574"
"660","0.4203268223500345","0.4203268223500345","0.4203268223500345"
"670","0.4210566517431289","0.4210566517431289","0.4210566517431289"
"680","0.4136530120158568","0.4136530120158568","0.4136530120158568"
"690","0.41655682056443766","0.41655682056443766","0.41655682056443766"
"700","0.42380233205039985","0.42380233205039985","0.42380233205039985"
"710","0.4204211757169105","0.4204211757169105","0.4204211757169105"
"720","0.4164025971258525","0.4164025971258525","0.4164025971258525"
"730","0.41475481903762557","0.41475481903762557","0.41475481903762557"
"740","0.4151720494555775","0.4151720494555775","0.4151720494555775"
"750","0.41457050456665456","0.41457050456665456","0.41457050456665456"
"760","0.4179983881476801","0.4179983881476801","0.4179983881476801"
"770","0.4195289615599904","0.4195289615599904","0.4195289615599904"
"780","0.418954392633168","0.418954392633168","0.418954392633168"
"790","0.4176718733215239","0.4176718733215239","0.4176718733215239"
"800","0.41588609002064914","0.41588609002064914","0.41588609002064914"
"810","0.41523165034595877","0.41523165034595877","0.41523165034595877"
"820","0.41749181001796387","0.41749181001796387","0.41749181001796387"
"830","0.42229664968908764","0.42229664968908764","0.42229664968908764"
"840","0.4203548686928116","0.4203548686928116","0.4203548686928116"
"850","0.42019684475963004","0.42019684475963004","0.42019684475963004"
"860","0.4204462412453722","0.4204462412453722","0.4204462412453722"
"870","0.42012277545291","0.42012277545291","0.42012277545291"
"880","0.42181480972794816","0.42181480972794816","0.42181480972794816"
"890","0.4209875135566108","0.4209875135566108","0.4209875135566108"
"900","0.4205346670933068","0.4205346670933068","0.4205346670933068"
"910","0.4199278551095631","0.4199278551095631","0.4199278551095631"
"920","0.41869483873597346","0.41869483873597346","0.41869483873597346"
"930","0.41892544081201777","0.41892544081201777","0.41892544081201777"
"940","0.4185380734852515","0.4185380734852515","0.4185380734852515"
"950","0.4192235872615129","0.4192235872615129","0.4192235872615129"
"960","0.41750867752125487","0.41750867752125487","0.41750867752125487"
"970","0.4197654031449929","0.4197654031449929","0.4197654031449929"
"980","0.41849322244524956","0.41849322244524956","0.41849322244524956"
"990","0.4177844811347313","0.4177844811347313","0.4177844811347313"
