"Step","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_inferring","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_inferring__MIN","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_inferring__MAX"
"0","0.4575824987004167","0.4575824987004167","0.4575824987004167"
"10","0.4633666383638193","0.4633666383638193","0.4633666383638193"
"20","0.46419059726004386","0.46419059726004386","0.46419059726004386"
"30","0.4465166948039508","0.4465166948039508","0.4465166948039508"
"40","0.4340682370826188","0.4340682370826188","0.4340682370826188"
"50","0.4435064949299373","0.4435064949299373","0.4435064949299373"
"60","0.432767534682709","0.432767534682709","0.432767534682709"
"70","0.44513975013415885","0.44513975013415885","0.44513975013415885"
"80","0.4455930531047533","0.4455930531047533","0.4455930531047533"
"90","0.4391111077014719","0.4391111077014719","0.4391111077014719"
"100","0.44580714526802745","0.44580714526802745","0.44580714526802745"
"110","0.44150092765491555","0.44150092765491555","0.44150092765491555"
"120","0.45360733516569607","0.45360733516569607","0.45360733516569607"
"130","0.46530683478470836","0.46530683478470836","0.46530683478470836"
"140","0.47073668244630196","0.47073668244630196","0.47073668244630196"
"150","0.4564153929998749","0.4564153929998749","0.4564153929998749"
"160","0.4563849525905803","0.4563849525905803","0.4563849525905803"
"170","0.4379962103715507","0.4379962103715507","0.4379962103715507"
"180","0.44319137463945946","0.44319137463945946","0.44319137463945946"
"190","0.4546295421780971","0.4546295421780971","0.4546295421780971"
"200","0.4400194387557064","0.4400194387557064","0.4400194387557064"
"210","0.466815154006226","0.466815154006226","0.466815154006226"
"220","0.4427188280051295","0.4427188280051295","0.4427188280051295"
"230","0.44511865284601126","0.44511865284601126","0.44511865284601126"
"240","0.4479916180916045","0.4479916180916045","0.4479916180916045"
"250","0.44778002695329655","0.44778002695329655","0.44778002695329655"
"260","0.4729977282641672","0.4729977282641672","0.4729977282641672"
"270","0.46862967863539573","0.46862967863539573","0.46862967863539573"
"280","0.4774569898790554","0.4774569898790554","0.4774569898790554"
"290","0.45521354481588444","0.45521354481588444","0.45521354481588444"
"300","0.45655037336244464","0.45655037336244464","0.45655037336244464"
"310","0.4559165223312634","0.4559165223312634","0.4559165223312634"
"320","0.4542934145249002","0.4542934145249002","0.4542934145249002"
"330","0.46191521832534144","0.46191521832534144","0.46191521832534144"
"340","0.46336277344433174","0.46336277344433174","0.46336277344433174"
"350","0.46257812991435804","0.46257812991435804","0.46257812991435804"
"360","0.4594676855987867","0.4594676855987867","0.4594676855987867"
"370","0.47381998830515687","0.47381998830515687","0.47381998830515687"
"380","0.4670199646237574","0.4670199646237574","0.4670199646237574"
"390","0.4713190083356153","0.4713190083356153","0.4713190083356153"
"400","0.4748928752948668","0.4748928752948668","0.4748928752948668"
"410","0.4797920412001808","0.4797920412001808","0.4797920412001808"
