"Step","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - rewards/time_difference/consistency_penalty_mean","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - rewards/time_difference/consistency_penalty_mean__MIN","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - rewards/time_difference/consistency_penalty_mean__MAX"
"1","0.9313527941703796","0.9313527941703796","0.9313527941703796"
"2","0.8836936950683594","0.8836936950683594","0.8836936950683594"
"3","0.9342529773712158","0.9342529773712158","0.9342529773712158"
"4","0.8933481574058533","0.8933481574058533","0.8933481574058533"
"5","0.9066267609596252","0.9066267609596252","0.9066267609596252"
"6","0.9034679532051086","0.9034679532051086","0.9034679532051086"
"7","0.9263834357261658","0.9263834357261658","0.9263834357261658"
"8","0.9540058374404907","0.9540058374404907","0.9540058374404907"
"9","0.8883422613143921","0.8883422613143921","0.8883422613143921"
"10","0.9265019297599792","0.9265019297599792","0.9265019297599792"
"11","0.9595837593078613","0.9595837593078613","0.9595837593078613"
"12","0.9203822016716003","0.9203822016716003","0.9203822016716003"
"13","0.9376875758171082","0.9376875758171082","0.9376875758171082"
"14","0.9333749413490295","0.9333749413490295","0.9333749413490295"
"15","0.9351323843002319","0.9351323843002319","0.9351323843002319"
"16","0.9528051614761353","0.9528051614761353","0.9528051614761353"
"17","0.93510502576828","0.93510502576828","0.93510502576828"
"18","0.9308591485023499","0.9308591485023499","0.9308591485023499"
"19","0.9037641882896423","0.9037641882896423","0.9037641882896423"
"20","0.9567459225654602","0.9567459225654602","0.9567459225654602"
"21","0.9488753080368042","0.9488753080368042","0.9488753080368042"
"22","0.9590819478034973","0.9590819478034973","0.9590819478034973"
"23","0.9624203443527222","0.9624203443527222","0.9624203443527222"
"24","0.8986213207244873","0.8986213207244873","0.8986213207244873"
"25","0.953051745891571","0.953051745891571","0.953051745891571"
"26","0.8764323592185974","0.8764323592185974","0.8764323592185974"
"27","0.9101786017417908","0.9101786017417908","0.9101786017417908"
"28","0.9131940007209778","0.9131940007209778","0.9131940007209778"
"29","0.9804600477218628","0.9804600477218628","0.9804600477218628"
"30","0.9576776027679443","0.9576776027679443","0.9576776027679443"
"31","0.9659608602523804","0.9659608602523804","0.9659608602523804"
"32","0.9788446426391602","0.9788446426391602","0.9788446426391602"
"33","0.9826791882514954","0.9826791882514954","0.9826791882514954"
"34","0.9204230904579163","0.9204230904579163","0.9204230904579163"
"35","0.953501284122467","0.953501284122467","0.953501284122467"
"36","0.9356377124786377","0.9356377124786377","0.9356377124786377"
"37","0.9398847818374634","0.9398847818374634","0.9398847818374634"
"38","0.9177961945533752","0.9177961945533752","0.9177961945533752"
"39","0.97982257604599","0.97982257604599","0.97982257604599"
