"Step","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_time_inferring","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_time_inferring__MIN","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_time_inferring__MAX"
"0","0.33370064333895577","0.33370064333895577","0.33370064333895577"
"10","0.35251272735977834","0.35251272735977834","0.35251272735977834"
"20","0.42039575168179344","0.42039575168179344","0.42039575168179344"
"30","0.41512685843762254","0.41512685843762254","0.41512685843762254"
"40","0.43440037193800696","0.43440037193800696","0.43440037193800696"
"50","0.42272037559382336","0.42272037559382336","0.42272037559382336"
"60","0.435726853766276","0.435726853766276","0.435726853766276"
"70","0.43725698373695","0.43725698373695","0.43725698373695"
"80","0.44411653299580034","0.44411653299580034","0.44411653299580034"
"90","0.43338066020985644","0.43338066020985644","0.43338066020985644"
"100","0.4364665100704548","0.4364665100704548","0.4364665100704548"
"110","0.4553382646665155","0.4553382646665155","0.4553382646665155"
"120","0.43998118003158304","0.43998118003158304","0.43998118003158304"
"130","0.4337189606439058","0.4337189606439058","0.4337189606439058"
"140","0.45284370569241184","0.45284370569241184","0.45284370569241184"
"150","0.44633334184903495","0.44633334184903495","0.44633334184903495"
"160","0.43520412306504597","0.43520412306504597","0.43520412306504597"
"170","0.457369819749483","0.457369819749483","0.457369819749483"
"180","0.4438929673460044","0.4438929673460044","0.4438929673460044"
"190","0.4626400834517579","0.4626400834517579","0.4626400834517579"
"200","0.4624922325356351","0.4624922325356351","0.4624922325356351"
"210","0.4541802886174373","0.4541802886174373","0.4541802886174373"
"220","0.44150277451995706","0.44150277451995706","0.44150277451995706"
"230","0.4505772160756343","0.4505772160756343","0.4505772160756343"
"240","0.4492878312788866","0.4492878312788866","0.4492878312788866"
"250","0.4446924610598726","0.4446924610598726","0.4446924610598726"
"260","0.45264048442695304","0.45264048442695304","0.45264048442695304"
"270","0.4513772562642353","0.4513772562642353","0.4513772562642353"
"280","0.4364176018984899","0.4364176018984899","0.4364176018984899"
"290","0.445789148382348","0.445789148382348","0.445789148382348"
"300","0.4523840569473867","0.4523840569473867","0.4523840569473867"
"310","0.44614073287566713","0.44614073287566713","0.44614073287566713"
"320","0.46248353448283896","0.46248353448283896","0.46248353448283896"
"330","0.44788754757061133","0.44788754757061133","0.44788754757061133"
"340","0.44572297365777513","0.44572297365777513","0.44572297365777513"
"350","0.4607219694302488","0.4607219694302488","0.4607219694302488"
"360","0.46404980199211265","0.46404980199211265","0.46404980199211265"
"370","0.4569248182975915","0.4569248182975915","0.4569248182975915"
"380","0.45355193414304207","0.45355193414304207","0.45355193414304207"
"390","0.48326531455406907","0.48326531455406907","0.48326531455406907"
"400","0.4625117735883845","0.4625117735883845","0.4625117735883845"
"410","0.46814610859025546","0.46814610859025546","0.46814610859025546"
"420","0.4646439574481621","0.4646439574481621","0.4646439574481621"
"430","0.4678505114760806","0.4678505114760806","0.4678505114760806"
"440","0.46030744471593876","0.46030744471593876","0.46030744471593876"
"450","0.4761710696270264","0.4761710696270264","0.4761710696270264"
"460","0.4653192739622677","0.4653192739622677","0.4653192739622677"
