"Step","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - rewards/time_ordering/consistency_penalty_mean","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - rewards/time_ordering/consistency_penalty_mean__MIN","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - rewards/time_ordering/consistency_penalty_mean__MAX"
"1","0.8060645461082458","0.8060645461082458","0.8060645461082458"
"2","0.8186666369438171","0.8186666369438171","0.8186666369438171"
"3","0.7675199508666992","0.7675199508666992","0.7675199508666992"
"4","0.7671999931335449","0.7671999931335449","0.7671999931335449"
"5","0.7903478741645813","0.7903478741645813","0.7903478741645813"
"6","0.7432000041007996","0.7432000041007996","0.7432000041007996"
"7","0.7726315855979919","0.7726315855979919","0.7726315855979919"
"8","0.7813846468925476","0.7813846468925476","0.7813846468925476"
"9","0.7822068929672241","0.7822068929672241","0.7822068929672241"
"10","0.8425806760787964","0.8425806760787964","0.8425806760787964"
"11","0.8646154403686523","0.8646154403686523","0.8646154403686523"
"12","0.8676571249961853","0.8676571249961853","0.8676571249961853"
"13","0.8765517473220825","0.8765517473220825","0.8765517473220825"
"14","0.8941934704780579","0.8941934704780579","0.8941934704780579"
"15","0.8871428966522217","0.8871428966522217","0.8871428966522217"
"16","0.891567587852478","0.891567587852478","0.891567587852478"
"17","0.8981817960739136","0.8981817960739136","0.8981817960739136"
"18","0.9066667556762695","0.9066667556762695","0.9066667556762695"
"19","0.9638888835906982","0.9638888835906982","0.9638888835906982"
"20","0.9105555415153503","0.9105555415153503","0.9105555415153503"
"21","0.9351514577865601","0.9351514577865601","0.9351514577865601"
"22","0.9464865326881409","0.9464865326881409","0.9464865326881409"
"23","0.9496552348136902","0.9496552348136902","0.9496552348136902"
"24","0.9248484373092651","0.9248484373092651","0.9248484373092651"
"25","0.934857189655304","0.934857189655304","0.934857189655304"
"26","0.956000030040741","0.956000030040741","0.956000030040741"
"27","0.9351350665092468","0.9351350665092468","0.9351350665092468"
"28","0.9375","0.9375","0.9375"
"29","0.9233332872390747","0.9233332872390747","0.9233332872390747"
"30","0.9260000586509705","0.9260000586509705","0.9260000586509705"
"31","0.9337142705917358","0.9337142705917358","0.9337142705917358"
"32","0.91729736328125","0.91729736328125","0.91729736328125"
"33","0.9353846907615662","0.9353846907615662","0.9353846907615662"
"34","0.9195238351821899","0.9195238351821899","0.9195238351821899"
"35","0.956250011920929","0.956250011920929","0.956250011920929"
